,QUARTER,TIME_REMAINING,DALLAS_ACTION,MINNESOTA_ACTION,DALLAS_SCORE,MINNESOTA_SCORE
309,3,5:20.0,,J. Okogie misses 2-pt jump shot from 8 ft,76,53
310,3,5:17.0,Defensive rebound by D. Wright,,76,53
311,3,5:08.0,M. Kleber misses 3-pt jump shot from 26 ft,,76,53
312,3,5:07.0,Offensive rebound by Team,,76,53
313,3,5:07.0,,J. Culver enters the game for J. Okogie,76,53
314,3,4:56.0,Shooting foul by M. Beasley (drawn by K. Porziņģis),,76,53
315,3,4:56.0,K. Porziņģis misses free throw 1 of 2,,76,53
316,3,4:56.0,Offensive rebound by Team,,76,53
317,3,4:56.0,,J. Johnson enters the game for N. Reid,76,53
318,3,4:56.0,K. Porziņģis misses free throw 2 of 2,,76,53
319,3,4:54.0,,Defensive rebound by J. Culver,76,53
320,3,4:42.0,,M. Beasley makes 3-pt jump shot from 25 ft (assist by D. Russell),76,56
321,3,4:29.0,Turnover by M. Kleber (bad pass; steal by D. Russell),,76,56
322,3,4:25.0,,D. Russell misses 2-pt layup from 3 ft,76,56
323,3,4:23.0,,Offensive rebound by D. Russell,76,56
324,3,4:16.0,,M. Beasley misses 2-pt layup from 9 ft,76,56
325,3,4:14.0,Defensive rebound by D. Wright,,76,56
326,3,4:01.0,K. Porziņģis misses 2-pt jump shot from 14 ft,,76,56
327,3,4:00.0,,Defensive rebound by D. Russell,76,56
328,3,3:55.0,,D. Russell makes 3-pt jump shot from 28 ft,76,59
329,3,3:54.0,Dallas full timeout,,76,59
330,3,3:54.0,D. Finney-Smith enters the game for K. Porziņģis,,76,59
331,3,3:43.0,Turnover by M. Kleber (out of bounds lost ball),,76,59
332,3,3:35.0,,D. Russell misses 3-pt jump shot from 27 ft,76,59
333,3,3:32.0,Defensive rebound by M. Kleber,,76,59
334,3,3:19.0,D. Wright misses 3-pt jump shot from 24 ft,,76,59
335,3,3:17.0,,Defensive rebound by J. Johnson,76,59
336,3,3:08.0,,M. Beasley misses 2-pt layup from 4 ft,76,59
337,3,3:05.0,Defensive rebound by M. Kleber,,76,59
338,3,2:56.0,J. Jackson misses 3-pt jump shot from 26 ft,,76,59
339,3,2:54.0,,Defensive rebound by M. Beasley,76,59
340,3,2:50.0,,M. Beasley misses 2-pt layup from 2 ft,76,59
341,3,2:47.0,Defensive rebound by S. Curry,,76,59
342,3,2:47.0,J. Barea enters the game for S. Curry,,76,59
343,3,2:47.0,T. Hardaway enters the game for D. Wright,,76,59
344,3,2:47.0,,J. McLaughlin enters the game for M. Beasley,76,59
345,3,2:33.0,T. Hardaway makes 2-pt jump shot from 12 ft (assist by M. Kleber),,78,59
346,3,2:14.0,,Turnover by J. McLaughlin (bad pass; steal by D. Finney-Smith),78,59
347,3,2:09.0,Personal foul by D. Russell (drawn by J. Jackson),,78,59
348,3,2:02.0,J. Barea misses 3-pt jump shot from 29 ft,,78,59
349,3,1:58.0,,Defensive rebound by J. Johnson,78,59
350,3,1:50.0,,J. Layman makes 2-pt layup from 1 ft (assist by J. Johnson),78,61
351,3,1:30.0,J. Jackson misses 3-pt jump shot from 26 ft,,78,61
352,3,1:26.0,,Defensive rebound by J. Culver,78,61
353,3,1:21.0,,J. Layman misses 2-pt jump shot from 22 ft,78,61
354,3,1:18.0,Defensive rebound by M. Kleber,,78,61
355,3,1:18.0,C. Lee enters the game for J. Jackson,,78,61
356,3,1:18.0,K. Porziņģis enters the game for M. Kleber,,78,61
357,3,1:18.0,,K. Martin enters the game for J. Layman,78,61
358,3,1:05.0,Turnover by J. Barea (lost ball; steal by J. McLaughlin),,78,61
359,3,1:00.0,,J. McLaughlin makes 2-pt dunk from 1 ft (assist by J. Johnson),78,63
360,3,0:41.0,K. Porziņģis misses 3-pt jump shot from 25 ft,,78,63
361,3,0:40.0,,Defensive rebound by J. McLaughlin,78,63
362,3,0:25.0,,J. Culver makes 2-pt layup from 1 ft,78,65
363,3,0:04.0,J. Barea misses 3-pt jump shot from 28 ft,,78,65
364,3,0:01.0,Offensive rebound by K. Porziņģis,,78,65
365,3,0:00.0,Shooting foul by K. Martin (drawn by K. Porziņģis),,78,65
366,3,0:00.0,K. Porziņģis makes free throw 1 of 3,,79,65
367,3,0:00.0,K. Porziņģis makes free throw 2 of 3,,80,65
368,3,0:00.0,K. Porziņģis makes free throw 3 of 3,,81,65
369,4,11:49.0,Turnover by T. Hardaway (lost ball; steal by J. McLaughlin),,81,65
370,4,11:43.0,,K. Martin misses 3-pt jump shot from 23 ft,81,65
