,QUARTER,TIME_REMAINING,BOSTON_ACTION,MINNESOTA_ACTION,BOSTON_SCORE,MINNESOTA_SCORE
343,4,9:31.0,G. Monroe enters the game for M. Morris,,87,80
344,4,9:31.0,M. Smart makes free throw 2 of 2,,88,80
345,4,9:12.0,,T. Gibson makes 2-pt layup from 3 ft (assist by J. Crawford),88,82
346,4,9:12.0,,Shooting foul by G. Monroe (drawn by T. Gibson),88,82
347,4,9:12.0,,T. Gibson makes free throw 1 of 1,88,83
348,4,8:59.0,G. Monroe makes 2-pt layup at rim (assist by D. Theis),,90,83
349,4,8:46.0,,Personal foul by J. Tatum (drawn by N. Bjelica),90,83
350,4,8:46.0,,A. Wiggins enters the game for G. Dieng,90,83
351,4,8:37.0,,J. Crawford misses 3-pt jump shot from 25 ft,90,83
352,4,8:35.0,Defensive rebound by J. Tatum,,90,83
353,4,8:17.0,T. Rozier makes 3-pt jump shot from 26 ft (assist by G. Monroe),,93,83
354,4,7:51.0,,A. Wiggins makes 2-pt jump shot from 6 ft (assist by T. Jones),93,85
355,4,7:35.0,T. Rozier misses 2-pt layup from 2 ft (block by J. Crawford),,93,85
356,4,7:32.0,,Defensive rebound by N. Bjelica,93,85
357,4,7:27.0,,J. Crawford misses 3-pt jump shot from 22 ft,93,85
358,4,7:25.0,Defensive rebound by J. Tatum,,93,85
359,4,7:22.0,Shooting foul by N. Bjelica (drawn by J. Tatum),,93,85
360,4,7:22.0,J. Tatum misses free throw 1 of 2,,93,85
361,4,7:22.0,Offensive rebound by Team,,93,85
362,4,7:22.0,,J. Teague enters the game for T. Jones,93,85
363,4,7:22.0,,K. Towns enters the game for T. Gibson,93,85
364,4,7:22.0,J. Tatum makes free throw 2 of 2,,94,85
365,4,7:04.0,,J. Crawford misses 3-pt jump shot from 22 ft,94,85
366,4,7:02.0,Defensive rebound by D. Theis,,94,85
367,4,6:54.0,Shooting foul by A. Wiggins (drawn by D. Theis),,94,85
368,4,6:54.0,,Minnesota full timeout,94,85
369,4,6:54.0,K. Irving enters the game for J. Tatum,,94,85
370,4,6:54.0,S. Ojeleye enters the game for M. Smart,,94,85
371,4,6:54.0,D. Theis misses free throw 1 of 2,,94,85
372,4,6:54.0,Offensive rebound by Team,,94,85
373,4,6:54.0,D. Theis makes free throw 2 of 2,,95,85
