,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,NEW ORLEANS_ACTION,CLEVELAND_SCORE,NEW ORLEANS_SCORE
312,3,1:24.0,Shooting foul by L. Galloway (drawn by K. Love),,77,91
313,3,1:24.0,K. Love makes free throw 1 of 2,,78,91
314,3,1:24.0,K. Love makes free throw 2 of 2,,79,91
315,3,1:08.0,,E. Moore misses 3-pt jump shot from 23 ft,79,91
316,3,1:07.0,,Offensive rebound by L. Galloway,79,91
317,3,1:02.0,,L. Galloway makes 3-pt jump shot from 25 ft (assist by T. Evans),79,94
318,3,0:45.0,I. Shumpert makes 3-pt jump shot from 27 ft (assist by K. Love),,82,94
319,3,0:34.0,,E. Moore misses 3-pt jump shot from 26 ft,82,94
320,3,0:33.0,Defensive rebound by K. Irving,,82,94
321,3,0:31.0,Personal foul by T. Evans (drawn by K. Irving),,82,94
322,3,0:31.0,K. Irving makes free throw 1 of 2,,83,94
323,3,0:31.0,,B. Hield enters the game for J. Holiday,83,94
324,3,0:31.0,D. Liggins enters the game for K. Love,,83,94
325,3,0:31.0,K. Irving makes free throw 2 of 2,,84,94
326,3,0:09.0,,T. Evans misses 2-pt jump shot from 20 ft,84,94
327,3,0:09.0,Defensive rebound by D. Liggins,,84,94
328,3,0:01.0,K. Irving makes 2-pt layup from 2 ft,,86,94
329,4,11:47.0,,L. Galloway makes 3-pt jump shot from 26 ft (assist by T. Evans),86,97
330,4,11:29.0,Turnover by D. Liggins (offensive foul),,86,97
331,4,11:29.0,Offensive foul by D. Liggins (drawn by L. Galloway),,86,97
332,4,11:19.0,,Personal foul by R. Jefferson (drawn by D. Motiejūnas),86,97
333,4,11:06.0,,L. Galloway misses 3-pt jump shot from 28 ft,86,97
334,4,11:05.0,Defensive rebound by L. James,,86,97
335,4,10:57.0,T. Thompson misses 2-pt layup from 1 ft,,86,97
336,4,10:56.0,,Defensive rebound by T. Evans,86,97
337,4,10:49.0,,D. Motiejūnas makes 3-pt jump shot from 26 ft (assist by T. Evans),86,100
338,4,10:23.0,R. Jefferson misses 3-pt jump shot from 27 ft,,86,100
339,4,10:21.0,,Defensive rebound by E. Moore,86,100
340,4,10:09.0,,T. Evans makes 3-pt jump shot from 25 ft (assist by L. Galloway),86,103
341,4,10:08.0,Cleveland full timeout,,86,103
342,4,10:08.0,K. Irving enters the game for D. Liggins,,86,103
343,4,9:58.0,R. Jefferson makes 3-pt jump shot from 24 ft (assist by L. James),,89,103
344,4,9:32.0,,E. Moore misses 2-pt jump shot from 11 ft,89,103
345,4,9:29.0,Defensive rebound by K. Korver,,89,103
346,4,9:25.0,R. Jefferson makes 2-pt dunk at rim (assist by L. James),,91,103
347,4,9:24.0,,New Orleans full timeout,91,103
348,4,9:24.0,,D. Cunningham enters the game for B. Hield,91,103
349,4,9:20.0,,J. Holiday enters the game for T. Evans,91,103
350,4,9:10.0,,L. Galloway misses 3-pt jump shot from 25 ft,91,103
351,4,9:07.0,Defensive rebound by T. Thompson,,91,103
352,4,8:44.0,L. James makes 3-pt jump shot from 27 ft,,94,103
353,4,8:34.0,,D. Motiejūnas makes 2-pt layup from 1 ft (assist by J. Holiday),94,105
354,4,8:13.0,Turnover by L. James (bad pass; steal by J. Holiday),,94,105
355,4,8:09.0,,Turnover by D. Motiejūnas (bad pass; steal by K. Irving),94,105
356,4,8:07.0,K. Irving makes 2-pt layup at rim,,96,105
357,4,7:55.0,,J. Holiday misses 3-pt jump shot from 27 ft,96,105
358,4,7:51.0,Defensive rebound by L. James,,96,105
359,4,7:45.0,L. James misses 2-pt layup from 1 ft,,96,105
360,4,7:44.0,,Defensive rebound by D. Motiejūnas,96,105
361,4,7:39.0,,L. Galloway makes 3-pt jump shot from 26 ft (assist by D. Cunningham),96,108
362,4,7:23.0,T. Thompson misses 2-pt layup from 1 ft,,96,108
363,4,7:22.0,Offensive rebound by T. Thompson,,96,108
364,4,7:20.0,T. Thompson misses 2-pt layup from 3 ft (block by D. Motiejūnas),,96,108
365,4,7:19.0,,Defensive rebound by Team,96,108
366,4,7:19.0,K. Love enters the game for T. Thompson,,96,108
367,4,7:04.0,,D. Cunningham misses 3-pt jump shot from 23 ft,96,108
368,4,7:03.0,Defensive rebound by K. Korver,,96,108
369,4,6:59.0,Shooting foul by J. Holiday (drawn by L. James),,96,108
370,4,6:59.0,L. James misses free throw 1 of 2,,96,108
371,4,6:59.0,Offensive rebound by Team,,96,108
372,4,6:59.0,,T. Jones enters the game for D. Motiejūnas,96,108
373,4,6:59.0,L. James makes free throw 2 of 2,,97,108
374,4,6:43.0,,E. Moore misses 2-pt jump shot from 4 ft,97,108
375,4,6:41.0,Defensive rebound by L. James,,97,108
376,4,6:32.0,K. Korver makes 3-pt jump shot from 24 ft (assist by K. Love),,100,108
