,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,NEW ORLEANS_ACTION,BROOKLYN_SCORE,NEW ORLEANS_SCORE
344,3,0:03.0,C. LeVert makes free throw 2 of 2,,109,84
345,3,0:00.0,,T. Evans misses 3-pt jump shot from 47 ft,109,84
346,3,0:00.0,,Offensive rebound by Team,109,84
347,4,11:51.0,,Shooting foul by Q. Acy (drawn by T. Jones),109,84
348,4,11:51.0,,T. Jones misses free throw 1 of 2,109,84
349,4,11:51.0,,Offensive rebound by Team,109,84
350,4,11:51.0,,T. Jones makes free throw 2 of 2,109,85
351,4,11:42.0,R. Hollis-Jefferson makes 2-pt jump shot from 15 ft,,111,85
352,4,11:20.0,,T. Jones misses 3-pt jump shot from 27 ft,111,85
353,4,11:19.0,,Offensive rebound by D. Cunningham,111,85
354,4,11:15.0,,Turnover by T. Jones (lost ball; steal by I. Whitehead),111,85
355,4,11:05.0,R. Foye misses 3-pt jump shot from 25 ft,,111,85
356,4,11:03.0,,Defensive rebound by T. Jones,111,85
357,4,10:57.0,,L. Galloway misses 3-pt jump shot from 26 ft,111,85
358,4,10:55.0,Defensive rebound by Q. Acy,,111,85
359,4,10:41.0,Turnover by R. Hollis-Jefferson (bad pass),,111,85
360,4,10:26.0,,Offensive foul by D. Cunningham (drawn by Q. Acy),111,85
361,4,10:26.0,,Turnover by D. Cunningham (offensive foul),111,85
362,4,10:26.0,B. Bogdanović enters the game for Q. Acy,,111,85
363,4,10:24.0,B. Lopez enters the game for C. LeVert,,111,85
364,4,10:18.0,B. Lopez misses 2-pt jump shot from 6 ft,,111,85
