,QUARTER,TIME_REMAINING,ATLANTA_ACTION,PHILADELPHIA_ACTION,ATLANTA_SCORE,PHILADELPHIA_SCORE
308,3,1:32.0,Defensive rebound by K. Korver,,68,51
309,3,1:26.0,K. Korver makes 3-pt jump shot from 25 ft (assist by S. Mack),,71,51
310,3,1:07.0,,H. Thompson makes 2-pt jump shot from 11 ft (assist by K. McDaniels),71,53
311,3,0:49.0,S. Mack makes 3-pt jump shot from 25 ft (assist by K. Bazemore),,74,53
312,3,0:35.0,,R. Covington misses 3-pt jump shot from 25 ft,74,53
313,3,0:33.0,,Offensive rebound by K. McDaniels,74,53
314,3,0:28.0,,T. Wroten makes 2-pt layup from 1 ft (assist by K. McDaniels),74,55
315,3,0:04.0,S. Mack misses 2-pt jump shot from 15 ft,,74,55
316,3,0:02.0,,Defensive rebound by R. Covington,74,55
317,3,0:01.0,,T. Wroten misses 3-pt jump shot from 58 ft,74,55
318,3,0:00.0,,Offensive rebound by Team,74,55
319,4,11:48.0,K. Korver makes 2-pt layup at rim (assist by S. Mack),,76,55
320,4,11:37.0,,J. Grant makes 3-pt jump shot from 25 ft (assist by K. McDaniels),76,58
321,4,11:18.0,A. Horford misses 2-pt layup from 1 ft,,76,58
322,4,11:18.0,Offensive rebound by M. Scott,,76,58
323,4,11:18.0,Personal foul by T. Wroten (drawn by M. Scott),,76,58
324,4,11:05.0,S. Mack misses 2-pt layup from 2 ft,,76,58
325,4,11:04.0,Offensive rebound by A. Horford,,76,58
326,4,11:03.0,Shooting foul by J. Grant (drawn by A. Horford),,76,58
327,4,11:03.0,A. Horford makes free throw 1 of 2,,77,58
328,4,11:03.0,A. Horford makes free throw 2 of 2,,78,58
329,4,10:56.0,,Shooting foul by A. Horford (drawn by T. Wroten),78,58
330,4,10:56.0,,T. Wroten misses free throw 1 of 2,78,58
331,4,10:56.0,,Offensive rebound by Team,78,58
332,4,10:56.0,,F. Aldemir enters the game for J. Grant,78,58
333,4,10:56.0,,T. Wroten makes free throw 2 of 2,78,59
334,4,10:48.0,Turnover by S. Mack (bad pass; steal by R. Covington),,78,59
335,4,10:35.0,,T. Wroten makes 3-pt jump shot from 24 ft (assist by H. Thompson),78,62
336,4,10:14.0,S. Mack makes 2-pt jump shot from 6 ft (assist by K. Korver),,80,62
337,4,10:09.0,,Philadelphia full timeout,80,62
338,4,10:09.0,,M. Carter-Williams enters the game for T. Wroten,80,62
339,4,10:09.0,M. Muscala enters the game for M. Scott,,80,62
340,4,9:57.0,,K. McDaniels misses 2-pt dunk at rim,80,62
341,4,9:56.0,Defensive rebound by K. Bazemore,,80,62
