,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,PORTLAND_ACTION,MEMPHIS_SCORE,PORTLAND_SCORE
357,4,7:26.0,,C. Kaman makes 2-pt layup from 1 ft (assist by D. Lillard),89,85
358,4,7:03.0,Shooting foul by C. Kaman (drawn by M. Gasol),,89,85
359,4,7:03.0,M. Gasol makes free throw 1 of 2,,90,85
360,4,7:03.0,M. Gasol makes free throw 2 of 2,,91,85
361,4,6:45.0,,W. Matthews misses 3-pt jump shot from 24 ft,91,85
362,4,6:43.0,,Offensive rebound by Team,91,85
363,4,6:38.0,,C. Kaman misses 2-pt hook shot from 4 ft,91,85
364,4,6:37.0,Defensive rebound by M. Gasol,,91,85
365,4,6:21.0,Personal foul by N. Batum (drawn by M. Gasol),,91,85
366,4,6:21.0,M. Gasol misses free throw 1 of 2,,91,85
367,4,6:21.0,Offensive rebound by Team,,91,85
368,4,6:21.0,M. Gasol makes free throw 2 of 2,,92,85
